timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label
1817759,-3.24,2.21,14.59,-0.041,0.055,0.517,-0.63,0.34,0.05,0.004,0.005,-0.002,0,0,UNKNOWN
1817775,-3.24,2.21,14.59,-0.041,0.055,0.517,-0.64,0.35,0.07,0.004,0.001,-0.001,0,0,UNKNOWN
1817790,-3.24,2.19,14.69,-0.032,0.054,0.517,-0.67,0.36,0.02,0.005,0.002,0.002,0,0,UNKNOWN
1817805,-3.24,2.19,14.69,-0.032,0.054,0.517,-0.65,0.38,0.07,0.004,0.003,0.001,0,0,UNKNOWN
1817820,-3.24,2.19,14.69,-0.032,0.054,0.517,-0.66,0.32,0.06,0.006,0.001,-0.002,0,0,UNKNOWN
1817835,-3.24,2.19,14.69,-0.032,0.054,0.517,-0.64,0.33,0.01,0.005,0.001,0,0,0,UNKNOWN
1817910,-3.26,2.15,14.68,-0.039,0.057,0.517,-0.66,0.33,0.09,0.005,0.002,-0.001,0,0,UNKNOWN
1817970,-3.26,2.15,14.68,-0.039,0.057,0.517,-0.67,0.33,0.02,0.004,0.002,-0.001,0,0,UNKNOWN
1818030,-3.28,2.23,14.65,-0.038,0.055,0.516,-0.67,0.36,0.01,0.005,0.003,0,0,0,UNKNOWN
1818090,-3.28,2.23,14.65,-0.038,0.055,0.516,-0.63,0.33,0.06,0.005,0.003,-0.001,0,0,UNKNOWN
1818150,-3.25,2.19,14.69,-0.039,0.054,0.516,-0.65,0.33,0.05,0.004,0.001,-0.003,0,0,UNKNOWN
1818210,-3.25,2.19,14.69,-0.039,0.054,0.516,-0.64,0.33,0.08,0.004,0,-0.002,0,0,UNKNOWN
1818270,-3.24,2.19,14.67,-0.042,0.055,0.516,-0.65,0.32,0.03,0.004,0.001,0.001,0,0,UNKNOWN
1818330,-3.24,2.19,14.67,-0.042,0.055,0.516,-0.66,0.32,-0.01,0.005,0.002,0,0,0,UNKNOWN
1818420,-3.29,2.19,14.63,-0.038,0.055,0.518,-0.66,0.34,0.02,0.003,0.001,0,0,0,UNKNOWN
1818510,-3.27,2.19,14.7,-0.036,0.055,0.516,-0.66,0.34,0.02,0.006,0,0,0,0,UNKNOWN
1818570,-3.26,2.21,14.66,-0.041,0.056,0.517,-0.66,0.36,-0.02,0.005,0.002,0.001,0,0,UNKNOWN
1818630,-3.26,2.21,14.66,-0.041,0.056,0.517,-0.65,0.33,0.09,0.004,0.003,-0.003,0,0,UNKNOWN
1818690,-3.27,2.22,14.66,-0.035,0.055,0.517,-0.6,0.29,0.13,0.003,0.001,-0.003,0,0,UNKNOWN
1818750,-3.27,2.22,14.66,-0.035,0.055,0.517,-0.66,0.32,0.05,0.006,0.001,-0.001,0,0,UNKNOWN
1818780,-3.27,2.22,14.66,-0.035,0.055,0.517,-0.66,0.31,0.09,0.003,0.002,-0.002,0,0,UNKNOWN
1818810,-3.27,2.22,14.66,-0.035,0.055,0.517,-0.65,0.34,0.02,0.003,0.002,0.001,0,0,UNKNOWN
1818825,-3.27,2.22,14.66,-0.035,0.055,0.517,-0.67,0.33,0.04,0.003,0.003,0.001,0,0,UNKNOWN
1818870,-3.27,2.18,14.73,-0.039,0.056,0.517,-0.63,0.33,0.05,0.005,0.003,-0.001,0,0,UNKNOWN
1818885,-3.27,2.18,14.73,-0.039,0.056,0.517,-0.65,0.35,0.06,0.004,0.003,0,0,0,UNKNOWN
1818900,-3.27,2.18,14.73,-0.039,0.056,0.517,-0.65,0.33,0.05,0.005,0.001,0,0,0,UNKNOWN
1818915,-3.27,2.18,14.73,-0.039,0.056,0.517,-0.65,0.32,0.04,0.003,0.002,0,0,0,UNKNOWN
1818930,-3.28,2.19,14.67,-0.042,0.055,0.517,-0.65,0.36,0.05,0.005,0.002,-0.002,0,0,UNKNOWN
1818945,-3.28,2.19,14.67,-0.042,0.055,0.517,-0.65,0.35,0.05,0.003,0.001,-0.003,0,0,UNKNOWN
1819080,-3.27,2.21,14.69,-0.036,0.054,0.517,-0.65,0.35,0.03,0.004,0.002,0,0,0,UNKNOWN
1819200,-3.24,2.19,14.68,-0.042,0.055,0.517,-0.65,0.37,0.01,0.005,0.002,-0.001,0,0,UNKNOWN
1819320,-3.23,2.18,14.68,-0.038,0.054,0.517,-0.67,0.33,0.06,0.004,0.003,-0.001,0,0,UNKNOWN
1819440,-3.25,2.2,14.7,-0.038,0.055,0.517,-0.65,0.31,0.01,0.005,0.002,-0.002,0,0,UNKNOWN
1819500,-3.26,2.18,14.69,-0.038,0.055,0.517,-0.66,0.37,0.04,0.003,0.003,-0.002,0,0,UNKNOWN
1819515,-3.26,2.18,14.69,-0.038,0.055,0.517,-0.64,0.34,0.08,0.003,0.004,0,0,0,UNKNOWN
1819620,-3.28,2.18,14.63,-0.042,0.054,0.515,-0.65,0.3,0.07,0.005,0.001,0,0,0,UNKNOWN
1819740,-3.24,2.2,14.72,-0.038,0.056,0.516,-0.65,0.33,0.01,0.004,0.002,-0.001,0,0,UNKNOWN
1819920,-3.26,2.19,14.69,-0.038,0.054,0.516,-0.65,0.32,0.03,0.005,0.001,0.001,0,0,UNKNOWN
1820040,-3.27,2.2,14.7,-0.039,0.054,0.517,-0.65,0.34,0.04,0.004,0.001,-0.002,0,0,UNKNOWN
1820160,-3.28,2.18,14.69,-0.039,0.055,0.517,-0.65,0.34,0.05,0.005,0.002,0.001,0,0,UNKNOWN
1820280,-3.27,2.17,14.67,-0.042,0.055,0.516,-0.67,0.35,0.03,0.004,0.001,-0.003,0,0,UNKNOWN
1820400,-3.29,2.19,14.69,-0.044,0.054,0.517,-0.64,0.35,0.01,0.005,0.001,0,0,0,UNKNOWN
1820520,-3.25,2.21,14.69,-0.04,0.054,0.517,-0.65,0.33,0.03,0.003,0.003,-0.002,0,0,UNKNOWN
1820700,-3.26,2.18,14.65,-0.037,0.056,0.517,-0.61,0.33,0.12,0.005,0,-0.001,0,0,UNKNOWN
1820820,-3.27,2.2,14.62,-0.036,0.055,0.517,-0.68,0.36,-0.04,0.006,0.002,-0.001,0,0,UNKNOWN
1820940,-3.25,2.17,14.75,-0.03,0.057,0.516,-0.64,0.33,0.08,0.004,0.002,0,0,0,UNKNOWN
1821060,-3.26,2.18,14.66,-0.042,0.055,0.516,-0.66,0.35,0.06,0.003,0.003,0,0,0,UNKNOWN
1821180,-3.3,2.19,14.68,-0.038,0.056,0.516,-0.66,0.38,0.04,0.006,0.001,0.001,0,0,UNKNOWN
1821300,-3.24,2.18,14.66,-0.045,0.054,0.517,-0.65,0.33,0.03,0.005,0.002,-0.001,0,0,UNKNOWN
1821420,-3.26,2.23,14.62,-0.039,0.055,0.517,-0.65,0.33,-0.01,0.004,0.002,0,0,0,UNKNOWN
1821435,-3.26,2.23,14.62,-0.039,0.055,0.517,-0.66,0.37,0.03,0.005,0.003,-0.001,0,0,UNKNOWN
1821450,-3.28,2.19,14.72,-0.033,0.055,0.516,-0.63,0.34,0.05,0.004,0.003,-0.001,0,0,UNKNOWN
1821660,-3.26,2.19,14.71,-0.041,0.053,0.516,-0.67,0.34,0.03,0.004,0.001,0.002,0,0,UNKNOWN
1821780,-3.25,2.21,14.65,-0.041,0.055,0.516,-0.64,0.34,0.04,0.002,0.002,-0.003,0,0,UNKNOWN
1821900,-3.26,2.19,14.67,-0.037,0.056,0.516,-0.65,0.34,0.02,0.002,0.001,0.001,0,0,UNKNOWN
1822020,-3.29,2.19,14.66,-0.039,0.054,0.516,-0.64,0.35,0.03,0.005,0.003,-0.003,0,0,UNKNOWN
1822140,-3.27,2.21,14.67,-0.038,0.056,0.517,-0.63,0.33,0.01,0.005,0.001,0.001,0,0,UNKNOWN
1822260,-3.26,2.21,14.68,-0.038,0.054,0.517,-0.63,0.36,0.01,0.004,0.001,-0.003,0,0,UNKNOWN
1822380,-3.28,2.19,14.66,-0.038,0.056,0.517,-0.65,0.33,0.05,0.005,0.001,-0.002,0,0,UNKNOWN
1822500,-3.26,2.21,14.64,-0.038,0.055,0.517,-0.63,0.33,0.05,0.003,0.003,-0.002,0,0,UNKNOWN
1822620,-3.29,2.19,14.71,-0.038,0.055,0.518,-0.65,0.36,0.1,0.003,0.002,0.001,0,0,UNKNOWN
1822800,-3.25,2.2,14.68,-0.036,0.056,0.517,-0.62,0.35,0.05,0.004,0.002,-0.003,0,0,UNKNOWN
1822920,-3.25,2.2,14.68,-0.036,0.056,0.517,-0.64,0.32,0.03,0.003,0.002,0.002,0,0,UNKNOWN
1823040,-3.27,2.22,14.63,-0.04,0.054,0.517,-0.66,0.34,0.01,0.004,0.002,-0.002,0,0,UNKNOWN
1823160,-3.25,2.19,14.68,-0.04,0.054,0.516,-0.62,0.32,0.04,0.004,0.001,0.001,0,0,UNKNOWN
1823280,-3.27,2.18,14.65,-0.042,0.056,0.516,-0.63,0.31,0.04,0.004,0.001,-0.003,0,0,UNKNOWN
1823400,-3.26,2.22,14.62,-0.036,0.057,0.517,-0.65,0.34,-0.02,0.004,0.001,0.001,0,0,UNKNOWN
1823520,-3.27,2.19,14.72,-0.033,0.054,0.516,-0.65,0.34,0.1,0.004,0.001,-0.002,0,0,UNKNOWN
1823640,-3.27,2.19,14.73,-0.043,0.056,0.516,-0.64,0.34,0.01,0.005,0.002,0.001,0,0,UNKNOWN
1823760,-3.27,2.2,14.64,-0.038,0.054,0.516,-0.62,0.35,0.07,0.004,0.003,-0.002,0,0,UNKNOWN
1823940,-3.26,2.19,14.68,-0.036,0.056,0.517,-0.65,0.34,0.02,0.005,0.003,-0.001,0,0,UNKNOWN
1824060,-3.27,2.2,14.69,-0.039,0.054,0.516,-0.64,0.36,0.07,0.004,0.002,0,0,0,UNKNOWN
1824180,-3.26,2.21,14.68,-0.038,0.056,0.518,-0.64,0.32,-0.01,0.005,0.001,-0.001,0,0,UNKNOWN
1824300,-3.25,2.17,14.63,-0.039,0.054,0.516,-0.65,0.35,0.06,0.004,0.001,-0.001,0,0,UNKNOWN
1824420,-3.26,2.21,14.73,-0.036,0.055,0.517,-0.64,0.31,0.02,0.004,0.002,-0.001,0,0,UNKNOWN
